gene,detect_RNA,tau,peak_mean,top_celltype
SLC5A10,0.08417961147871625,0.9297667570230068,0.8767484426498413,PT_S3
CYFIP2,0.2735147376242879,0.7978278797922089,1.8077566623687744,M_TAL
RELB,0.06767984147765471,0.659810800307555,0.37327149510383606,Baso/Mast
ACAT1,0.20716535154453133,0.7701590527012964,1.114894986152649,PT_S3
ARMC7,0.045373482891617425,0.720641994368995,0.2107727825641632,Macula_Densa
PAX8,0.3317964686316832,0.716111854484706,1.8022865056991577,iPT
ENPEP,0.16972506280740243,0.8966062489118493,2.003178596496582,Podo
IL1RL1,0.0064753547291320195,0.9734255681090964,1.1525267362594604,Baso/Mast
DCN,0.030448321007749194,0.9245169713410398,0.8334245085716248,Podo
ALDH8A1,0.06307632426311878,0.902341377216896,0.4445234537124634,PT_S3
SLC2A9,0.19865539082127312,0.8481210270782071,1.600394368171692,iPT
SLC9A3,0.060397721241286575,0.929143928112995,0.5496382713317871,M_TAL
UMOD,0.1422242666572308,0.9239002046711333,2.712674140930176,M_TAL
PPARA,0.26428647252397297,0.7079161884744534,1.137925148010254,PT_S1
AMN,0.08558083578075794,0.887906213483373,0.6246711611747742,PT_S3
ACTA2,0.029078942712572095,0.9687104957757613,2.754711866378784,MyoFib/VSMC
KCNJ15,0.22257528042178268,0.8137241622561628,1.4300031661987305,PT_S2
PEPD,0.19530802165528466,0.8347700409057508,1.3161011934280396,PT_S3
TNF,0.030186476062418175,0.8766865859378822,0.5263877511024475,Plasma_Cells
EFHD1,0.2157673118431761,0.7866990670927454,1.3754082918167114,Macula_Densa
SOST,0.023130816319309296,0.9669416046116573,0.8463938236236572,Endo_GC
SLC17A3,0.12229574325041577,0.8793545696145324,0.8858285546302795,PT_S1
ALDOB,0.20440536428293407,0.8986693606237303,2.9377830028533936,PT_S2
MME,0.18457945578712714,0.9143429969629976,2.71366024017334,Podo
LGALS2,0.08597006475354729,0.8865845251500358,0.956076979637146,CD14_Mono
BDH2,0.13491383885920527,0.8257695286282501,0.8196030259132385,PT_S3
FN1,0.04249672693818336,0.8755032990471016,0.7531916499137878,Mes
BICC1,0.4148154700824458,0.707123015108019,2.875236988067627,PEC
ICAM1,0.03930504936131064,0.8046244726535129,0.45464950799942017,pDC
HAVCR1,0.031230317398535084,0.9491275015590832,0.47533074021339417,iPT
TDGF1,0.006057818194685255,0.9143440114281468,0.05580620840191841,M_TAL
TM7SF3,0.18691482962386327,0.6830513071071788,0.6874925494194031,PT_S2
CD24,0.21879622094051873,0.7705817021034302,1.5022178888320923,Ascending_Thin_LOH
VCAM1,0.06709599801847069,0.8399056682933154,0.6173363327980042,PEC
VIM,0.18005378436714908,0.7566000967766019,2.6886816024780273,Baso/Mast
HOXA9,0.058154346979937016,0.8486803545350806,0.4073278307914734,Podo
RGL3,0.2116131771699515,0.7101210724042281,1.0283445119857788,DCT1
COL1A1,0.015487774671809207,0.9023815812348456,0.33207055926322937,Fibroblast_1
JUN,0.3054173596121864,0.7080517734040386,3.0572619438171387,Baso/Mast
DPEP1,0.1226743568875836,0.9180962065635129,1.0925623178482056,PT_S1
TCN2,0.047981317009306114,0.7896406355475603,0.20072215795516968,PT_S1
OCIAD2,0.1566115848696083,0.7686374936049658,0.8062195777893066,PT_S3
SOX9,0.018403453522522203,0.9160059433217642,0.2501015067100525,Ascending_Thin_LOH
TWIST1,0.0018576837337673825,0.901997362994442,0.05565394461154938,Neural_Cells
SNAI1,0.010866565231237394,0.8905323123188362,0.22404645383358002,pDC
BCAM,0.12245851172994586,0.8354860196968404,1.2609096765518188,Podo
CRB2,0.006110894872792895,0.9828402618649303,0.5345314741134644,Podo
CCL2,0.01608223346661477,0.8937277807551066,0.30181920528411865,Ascending_Thin_LOH
CUBN,0.2746258094193411,0.8471642180359309,2.830476760864258,PT_S1
FOS,0.28836205371359824,0.7007698386030656,3.3665270805358887,Neutrophil
ACSF2,0.16768691836806907,0.8487220723300274,1.1441725492477417,PT_S2
SHMT1,0.16117971763207248,0.8279567521117139,0.8860247135162354,PT_S2
AOC1,0.039195357559888185,0.8501780440178972,0.24366597831249237,PT_S2
HNF4A,0.10599766462616327,0.8870351135683266,0.7686710357666016,PT_S2
PROM1,0.09653586214217473,0.8291402372271441,0.8528664708137512,iPT
ACY1,0.11850960687873749,0.9266723848300563,1.3520187139511108,PT_S3
