,Podo,PEC,Mes,Endo_GC,PT_S1,PT_S2,PT_S3,iPT,Des-Thin_Limb,Ascending_Thin_LOH,C_TAL,M_TAL,Macula_Densa,DCT1,DCT2,CNT,PC,IC_A,IC_B,Endo_Peritubular,Endo_Lymphatic,Fibroblast_1,Fibroblast_2,MyoFib/VSMC,GS_Stromal,Neural_Cells,Mac,CD14_Mono,CD16_Mono,cDC,pDC,Neutrophil,Baso/Mast,CD4T,CD8T,NK,Prolif_Lym,B_Naive,B_memory,Plasma_Cells,RBC
SLC5A10,0.012407291680574417,0.04132267087697983,0.02024642378091812,0.012044365517795086,0.44015344977378845,0.7341940999031067,0.8767484426498413,0.16520707309246063,0.2865240275859833,0.012061580084264278,0.020999617874622345,0.025558246299624443,0.022285547107458115,0.005787036847323179,0.01424591988325119,0.019059311598539352,0.02325764298439026,0.015317270532250404,0.04697838053107262,0.0542994923889637,0.03256446123123169,0.0326131246984005,0.02116059884428978,0.004649769049137831,0.07582058012485504,0.05802148953080177,0.010316383093595505,0.0034552186261862516,0.016319159418344498,0.09969713538885117,0.0,0.006308505777269602,0.009072717279195786,0.007093215361237526,0.005687150172889233,0.00175479834433645,0.012801327742636204,0.004131344612687826,0.043123193085193634,0.0037403746973723173,0.04279546067118645
CYFIP2,0.07612863183021545,0.2166806012392044,0.12834155559539795,0.050923384726047516,0.5233203768730164,0.5947022438049316,0.6405444145202637,0.3221636712551117,0.4841807186603546,0.25313904881477356,1.0291353464126587,1.8077566623687744,0.7283099293708801,1.1900701522827148,0.5361148715019226,0.6230095028877258,1.131481409072876,0.4571896493434906,0.4898683726787567,0.23090782761573792,0.19661885499954224,0.20021335780620575,0.19134917855262756,0.16511033475399017,0.27259042859077454,0.2537994682788849,0.07291895896196365,0.04611259698867798,0.1571238934993744,0.2126421183347702,0.4410947263240814,0.0841539278626442,0.047712698578834534,0.25765982270240784,0.22180449962615967,0.18778760731220245,0.3251259922981262,0.15675146877765656,0.7923579812049866,0.44532546401023865,0.18465480208396912
RELB,0.08417711406946182,0.2706719636917114,0.15259906649589539,0.1055673137307167,0.021673664450645447,0.025086352601647377,0.031329553574323654,0.24182018637657166,0.08037014305591583,0.2694506049156189,0.11463631689548492,0.05025326460599899,0.09428521990776062,0.05669454485177994,0.1280224323272705,0.24435947835445404,0.13656525313854218,0.15510733425617218,0.14149560034275055,0.17966009676456451,0.1366172730922699,0.26145273447036743,0.10357517004013062,0.0735330656170845,0.1889846920967102,0.16661770641803741,0.13398192822933197,0.12481781840324402,0.07053995877504349,0.08948051184415817,0.20938070118427277,0.10096509009599686,0.37327149510383606,0.11504541337490082,0.05659007653594017,0.06979095190763474,0.10350342839956284,0.08729641139507294,0.20080122351646423,0.1619843989610672,0.04053318873047829
ACAT1,0.12029068917036057,0.21420514583587646,0.1870085746049881,0.25293755531311035,0.8080683350563049,0.9822207689285278,1.114894986152649,0.2660801410675049,0.41622889041900635,0.18062739074230194,0.24069087207317352,0.37432006001472473,0.20920757949352264,0.2661113440990448,0.24252164363861084,0.1568804234266281,0.19660478830337524,0.9253750443458557,0.6857900023460388,0.22105509042739868,0.20603160560131073,0.182484969496727,0.23952588438987732,0.26669496297836304,0.1800498217344284,0.15051595866680145,0.12293201684951782,0.06509611010551453,0.0960625633597374,0.16321173310279846,0.19901633262634277,0.10061580687761307,0.09256506711244583,0.15082940459251404,0.13358473777770996,0.10368737578392029,0.17547187209129333,0.10837946087121964,0.16583074629306793,0.12877029180526733,0.2723597288131714
ARMC7,0.025391267612576485,0.05360712483525276,0.04002845287322998,0.03298959508538246,0.029610687866806984,0.03203986585140228,0.028473112732172012,0.060172323137521744,0.05561341345310211,0.17722922563552856,0.1535121500492096,0.10418889671564102,0.2107727825641632,0.05505026876926422,0.07481931895017624,0.12822769582271576,0.13985849916934967,0.20348010957241058,0.1454586535692215,0.04645882919430733,0.04626065120100975,0.03343590348958969,0.04080917686223984,0.01928335428237915,0.0710151195526123,0.05839775502681732,0.03480248153209686,0.008725866675376892,0.01851971633732319,0.028165115043520927,0.015591329894959927,0.014035976491868496,0.03288179636001587,0.02978292480111122,0.031684573739767075,0.04027748480439186,0.12615662813186646,0.025033121928572655,0.03781299293041229,0.04704812541604042,0.009312981739640236
PAX8,0.1461513340473175,1.466088891029358,0.26318082213401794,0.082076795399189,1.0550131797790527,1.1270192861557007,1.1835983991622925,1.8022865056991577,0.9847476482391357,1.2310681343078613,1.0766428709030151,1.1315220594406128,1.0332952737808228,0.43324145674705505,0.8114603161811829,1.5073471069335938,1.6377122402191162,1.004390001296997,1.0717687606811523,0.33430689573287964,0.2679824233055115,0.2995684742927551,0.24476197361946106,0.19506177306175232,0.3832748234272003,0.5004611611366272,0.0817701444029808,0.015589357353746891,0.02173640765249729,0.2657424211502075,0.009600191377103329,0.016653764992952347,0.003959638997912407,0.09571539610624313,0.0528419092297554,0.009425737895071507,0.006547069177031517,0.036974769085645676,0.19510357081890106,0.047364089637994766,0.13514438271522522
ENPEP,2.003178596496582,0.6171209216117859,0.2048468291759491,0.04739996790885925,1.1412851810455322,1.0962040424346924,0.9126020669937134,0.7478843927383423,0.693103551864624,0.03538385033607483,0.07670118659734726,0.05407029017806053,0.06653621792793274,0.0328776016831398,0.05569165199995041,0.06168190762400627,0.062156762927770615,0.06044376268982887,0.17866279184818268,0.2289939671754837,0.17017722129821777,0.25761085748672485,0.16631710529327393,0.05461815372109413,0.28123340010643005,0.3032750189304352,0.04614734649658203,0.011567486450076103,0.015393628738820553,0.16511502861976624,0.0,0.016563178971409798,0.012750294059515,0.029828811064362526,0.026052504777908325,0.004529919940978289,0.0,0.02230999618768692,0.16638816893100739,0.009877498261630535,0.1512434035539627
IL1RL1,0.0038315276615321636,0.0024637102615088224,0.5799602270126343,0.07365380227565765,0.002262118738144636,0.002726363716647029,0.0020877027418464422,0.0061037298291921616,0.012863615527749062,0.012480446137487888,0.0022567519918084145,0.0012909595388919115,0.0018836247036233544,0.0008683828637003899,0.0019460777984932065,0.002742788987234235,0.0010150392772629857,0.0017934874631464481,0.004761112853884697,0.026808898895978928,0.01379498653113842,0.031767837703228,0.31273189187049866,0.002820443594828248,0.006480398587882519,0.012294728308916092,0.004927551839500666,0.001111262827180326,0.0019518829649314284,0.015036207623779774,0.009400572627782822,0.0026805968955159187,1.1525267362594604,0.008588331751525402,0.0032926956191658974,0.001492006704211235,0.02238033339381218,0.0005722275818698108,0.013607260771095753,0.011209545657038689,0.00516859907656908
DCN,0.8334245085716248,0.0804852768778801,0.11890522390604019,0.021699193865060806,0.04022849351167679,0.03471488133072853,0.029019366949796677,0.065421923995018,0.1371903121471405,0.013239041902124882,0.037632543593645096,0.03407216817140579,0.023189658299088478,0.01358393207192421,0.022577974945306778,0.03353986144065857,0.035296060144901276,0.020951544865965843,0.07139000296592712,0.0817171186208725,0.058287981897592545,0.5552692413330078,0.18762323260307312,0.12758386135101318,0.15031109750270844,0.14594821631908417,0.031257838010787964,0.0012514404952526093,0.008465617895126343,0.0071513457223773,0.0033264143858104944,0.007814448326826096,0.0,0.03140268102288246,0.014102957211434841,0.0016873212298378348,0.013417590409517288,0.011859383434057236,0.13657325506210327,0.07047310471534729,0.037714634090662
ALDH8A1,0.023735422641038895,0.045017849653959274,0.04375441372394562,0.015138061717152596,0.33987128734588623,0.36825618147850037,0.4445234537124634,0.11829357594251633,0.1284651756286621,0.00737787364050746,0.025799818336963654,0.030777743086218834,0.03555191308259964,0.01870407536625862,0.018211914226412773,0.01946481317281723,0.029457123950123787,0.016674306243658066,0.03636056184768677,0.04018307849764824,0.018950991332530975,0.025719985365867615,0.029192788526415825,0.012059886008501053,0.03704868629574776,0.04239581897854805,0.010678370483219624,0.006268161348998547,0.0037474618293344975,0.05795266851782799,0.0,0.01324975211173296,0.008346309885382652,0.008878704160451889,0.007436465937644243,0.0021400107070803642,0.0,0.0037515107542276382,0.01937715709209442,0.011611630208790302,0.05656038224697113
