celltype,n_RNA_cells
Podo,2326
PEC,598
Mes,451
Endo_GC,16246
PT_S1,29717
PT_S2,13539
PT_S3,12886
iPT,19190
Des-Thin_Limb,2962
Ascending_Thin_LOH,678
C_TAL,15996
M_TAL,13851
Macula_Densa,4150
DCT1,9101
DCT2,5448
CNT,9113
PC,6424
IC_A,13331
IC_B,2429
Endo_Peritubular,18039
Endo_Lymphatic,209
Fibroblast_1,6088
Fibroblast_2,2374
MyoFib/VSMC,1200
GS_Stromal,1328
Neural_Cells,679
Mac,5832
CD14_Mono,1819
CD16_Mono,7833
cDC,165
pDC,128
Neutrophil,2490
Baso/Mast,377
CD4T,14377
CD8T,24099
NK,8289
Prolif_Lym,126
B_Naive,6349
B_memory,1813
Plasma_Cells,380
RBC,180
