,Podo,PEC,Mes,Endo_GC,PT_S1,PT_S2,PT_S3,iPT,Des-Thin_Limb,Ascending_Thin_LOH,C_TAL,M_TAL,Macula_Densa,DCT1,DCT2,CNT,PC,IC_A,IC_B,Endo_Peritubular,Endo_Lymphatic,Fibroblast_1,Fibroblast_2,MyoFib/VSMC,GS_Stromal,Neural_Cells,Mac,CD14_Mono,CD16_Mono,cDC,pDC,Neutrophil,Baso/Mast,CD4T,CD8T,NK,Prolif_Lym,B_Naive,B_memory,Plasma_Cells,RBC
SLC5A10,0.8598452278589854,2.842809364548495,1.3303769401330376,0.7017111904468792,25.049634889120703,39.87739124012113,47.392519012882204,10.844189682126107,13.808237677245106,0.7374631268436578,1.3815953988497125,2.3969388491805645,1.2771084337349397,0.41753653444676403,0.9544787077826725,1.218040162405355,1.432129514321295,1.0501837821618782,2.799505969534788,2.854925439325905,1.9138755980861244,1.6754270696452036,1.0951979780960404,0.25,4.518072289156627,2.503681885125184,0.6001371742112482,0.2748763056624519,0.9447210519596578,5.454545454545454,0.0,0.48192771084337355,0.5305039787798408,0.43819990262224384,0.3195153325864144,0.09651345156231149,0.7936507936507936,0.20475665459127423,2.7027027027027026,0.2631578947368421,2.7777777777777777
CYFIP2,5.116079105760963,13.54515050167224,7.5388026607538805,3.23772005416718,29.834774708079546,34.0940985301721,37.086760825702314,20.250130276185512,23.49763673193788,19.321533923303836,55.02000500125032,83.75568551007147,40.554216867469876,64.30062630480167,32.709251101321584,37.331284977504666,61.84620174346202,30.52284149726202,27.871552079044875,11.586008093575032,10.526315789473683,9.74047306176084,10.193765796124685,9.25,14.60843373493976,12.223858615611192,4.715363511659808,2.638812534359538,8.642920975360653,10.909090909090908,39.84375,5.742971887550201,3.183023872679045,15.01008555331432,11.48180422424167,10.025334781035108,20.634920634920633,7.308237517719326,41.86431329288472,37.10526315789473,10.555555555555555
RELB,7.308684436801376,18.394648829431436,9.977827050997783,6.161516681029176,1.3594912003230475,1.654479651377502,2.405711625019401,16.128191766545076,4.11883862255233,17.551622418879056,7.720680170042511,4.021370298173417,6.457831325301205,4.175365344467641,8.95741556534508,16.021068802809175,9.947073474470734,11.019428399969994,8.892548373816386,9.972836631742336,7.655502392344498,13.370565045992116,5.096882898062343,3.75,10.993975903614457,8.541973490427099,9.276406035665294,6.706981858163827,4.238478233116303,4.242424242424243,21.09375,7.1084337349397595,19.363395225464192,6.705154065521318,3.041619984231711,3.5468693449149478,9.523809523809524,4.032131044258938,12.079426365140652,14.210526315789473,2.7777777777777777
ACAT1,9.37231298366294,13.879598662207357,12.195121951219512,14.138864951372646,38.75895951812094,45.75670285840904,51.032127890734124,16.9254820218864,19.480081026333558,14.15929203539823,15.74143535883971,27.016099920583354,12.819277108433734,18.624326997033293,15.473568281938327,10.78678810490508,14.850560398505605,49.876228339959496,35.529024289831206,12.290038250457343,12.440191387559809,10.939553219448095,14.911541701769165,18.333333333333332,9.713855421686747,7.216494845360824,8.453360768175584,3.7932930181418363,5.630026809651475,7.878787878787878,18.75,6.666666666666667,5.570291777188329,9.188286847047367,6.846757126851736,5.33236819881771,15.079365079365079,5.008662781540401,10.038610038610038,13.421052631578947,18.88888888888889
ARMC7,2.278589853826311,4.1806020066889635,2.4390243902439024,2.0374245968238336,2.019046337113437,2.2601373808996232,2.266025143566661,4.689942678478374,2.9034436191762323,12.831858407079647,10.790197549387347,9.4794599667894,13.325301204819276,4.515987254147896,5.4331864904552125,9.316361242181499,10.943337484433375,15.055134648563499,9.633594071634418,2.7495980930206776,3.349282296650718,1.8396846254927726,2.232518955349621,1.0833333333333335,4.066265060240964,3.2400589101620034,2.2805212620027433,0.4947773501924134,1.1106855610877058,2.4242424242424243,0.78125,1.3654618473895583,2.9177718832891246,1.9266884607358976,1.70131540727831,2.0629750271444083,10.317460317460316,1.1340368561978265,2.2062879205736348,5.263157894736842,0.5555555555555556
PAX8,10.01719690455718,65.21739130434783,15.077605321507761,5.065862366120891,47.006763805229326,49.47928207400842,50.47338196492317,72.82959874934862,42.471303173531396,57.227138643067846,50.46261565391348,60.73207710634612,49.855421686746986,29.062740358202394,44.60352422907489,66.94831559310875,77.38169364881693,52.56169829720201,54.67270481679704,16.070735628360776,15.311004784688995,13.337713534822601,11.583824768323504,9.333333333333334,17.319277108433734,20.765832106038292,4.132373113854595,0.7696536558548653,1.0979190603855482,13.333333333333334,0.78125,1.0040160642570282,0.2652519893899204,4.1246435278569935,2.439935267023528,0.5187598021474243,0.7936507936507936,1.6223027248385573,10.204081632653061,2.8947368421052633,6.111111111111111
ENPEP,81.94325021496131,36.12040133779264,11.751662971175167,2.4990766958020436,53.91526735538581,52.91380456459118,47.50116405401211,40.00521104742053,31.465226198514518,2.8023598820058995,4.732433108277069,3.451014367193704,4.096385542168675,2.318426546533348,3.634361233480176,3.763853835180511,3.7204234122042346,3.6381366739179355,9.798270893371757,11.059371362048893,8.61244019138756,12.28646517739816,7.792754844144903,3.166666666666667,15.135542168674698,13.549337260677467,2.4176954732510287,0.6047278724573941,0.7404570407251373,9.090909090909092,0.0,1.0441767068273093,0.7957559681697612,1.5302218821729152,1.2988090792149052,0.27747617324164553,0.0,0.9922822491730982,9.100937672366245,0.5263157894736842,7.777777777777778
IL1RL1,0.21496130696474636,0.16722408026755853,23.28159645232816,3.305429028683984,0.1211427802268062,0.14772139744441984,0.13192612137203166,0.3543512245961438,0.675219446320054,0.5899705014749262,0.1312828207051763,0.07941664861742835,0.12048192771084339,0.06592682122843643,0.12848751835535976,0.18654669153955886,0.07783312577833125,0.10501837821618784,0.24701523260601072,1.352624868340817,0.4784688995215311,1.478318002628121,8.761583824768323,0.25,0.37650602409638556,0.7363770250368188,0.3429355281207133,0.054975261132490384,0.11489850631941785,0.6060606060606061,0.78125,0.1606425702811245,52.254641909814325,0.43819990262224384,0.17843064027553013,0.09651345156231149,1.5873015873015872,0.031501023783272956,0.7722007722007722,0.7894736842105263,0.5555555555555556
DCN,46.99054170249355,5.183946488294314,7.095343680709535,1.2864705158192786,2.3084429787663625,2.0459413546052145,1.7926431786434889,3.694632621156853,6.482106684672519,1.0324483775811208,2.525631407851963,2.476355497797993,1.4216867469879517,1.054829139654983,1.486784140969163,2.1507736201031493,2.2571606475716064,1.2977271022428924,4.158089748867847,4.251898664005766,2.8708133971291865,24.63863337713535,9.267059814658804,5.75,8.358433734939759,6.480117820324007,1.800411522633745,0.054975261132490384,0.4723605259798289,0.6060606060606061,0.78125,0.8433734939759037,0.0,1.7388885024692218,0.7925640068052617,0.1327059958981783,0.7936507936507936,0.5197668924240038,7.942636514065085,5.7894736842105265,2.7777777777777777
ALDH8A1,1.6766981943250214,3.3444816053511706,2.6607538802660753,0.8679059460790348,21.980684456708282,24.248467390501514,29.062548502250507,8.29598749348619,6.650911546252532,0.5899705014749262,1.8129532383095774,2.425817630495993,2.216867469879518,1.4833534776398198,1.2298091042584436,1.459453527927137,1.9769613947696139,1.0726877203510614,2.2231370934540964,2.156438826985975,0.9569377990430622,1.3633377135348226,1.4743049705139006,0.8333333333333334,2.108433734939759,2.0618556701030926,0.6001371742112482,0.32985156679494226,0.19149751053236308,4.848484848484849,0.0,0.8835341365461846,0.7957559681697612,0.5216665507407665,0.4315531764803519,0.14477017734346725,0.0,0.18900614269963775,1.1031439602868174,1.0526315789473684,3.888888888888889
SLC2A9,4.729148753224419,33.27759197324415,9.75609756097561,6.850917148836637,50.809301073459636,50.180958711869415,50.47338196492317,66.0500260552371,39.39905469277515,3.392330383480826,5.495123780945237,23.095805357013933,3.9518072289156625,1.5053290847159653,3.0286343612334803,4.806320640842752,3.4402241594022414,5.94103968194434,14.862083161794978,17.295858972226842,6.220095693779904,11.97437582128778,6.529064869418702,1.6666666666666667,21.61144578313253,18.556701030927837,8.573388203017833,1.7042330951072018,1.4298480786416443,10.303030303030303,1.5625,2.570281124497992,0.5305039787798408,1.9266884607358976,1.3403045769534006,0.20509108456991193,0.0,1.2442904394392817,9.376723662437948,2.368421052631579,2.7777777777777777
SLC9A3,0.6018916595012898,1.3377926421404682,1.9955654101995564,0.27083589806721653,9.96399367365481,11.241598345520348,11.648300481142325,3.7727983324648253,4.726536124240378,3.2448377581120944,19.461115278819705,39.4845137535196,12.144578313253012,0.9669267113504011,0.8627019089574155,0.823000109733348,0.933997509339975,0.6976220838646763,1.729106628242075,1.5632795609512722,0.4784688995215311,1.0840998685939554,1.0109519797809603,1.4166666666666665,2.033132530120482,0.8836524300441826,0.22290809327846364,0.21990104452996154,0.19149751053236308,3.0303030303030303,0.0,0.040160642570281124,0.0,0.612088752869166,0.2448234366571227,0.12064181445288938,0.7936507936507936,0.06300204756654591,0.2206287920573635,0.2631578947368421,2.7777777777777777
UMOD,2.493551160791058,11.705685618729097,9.75609756097561,5.2012803151544995,7.248376350237237,6.898589260654406,13.549588700915722,4.9504950495049505,12.491559756921,19.616519174041297,61.47161790447612,88.92498736553317,35.975903614457835,8.229864850016481,4.5154185022026425,6.057280807637441,10.429638854296389,4.740829645187908,10.168793742280775,17.312489605853983,18.181818181818183,9.888304862023652,13.352990732940185,14.75,4.743975903614458,2.2091310751104567,8.38477366255144,1.319406267179769,1.4553810800459595,4.242424242424243,2.34375,3.2128514056224895,5.570291777188329,2.9839326702371842,1.9502883937092825,1.0737121486307155,3.1746031746031744,0.47251535674909434,1.765030336458908,1.5789473684210527,10.0
PPARA,12.725709372312984,25.418060200668897,25.942350332594234,4.628831712421519,51.11552310125518,50.89740748947486,49.72062703709452,38.38457529963522,39.33153274814315,14.011799410029498,38.434608652163035,63.258970471446105,24.36144578313253,44.40171409735194,29.698972099853155,27.26873696916493,23.38107098381071,22.15887780361563,30.506381226842322,16.347912855479795,11.961722488038278,16.32720105124836,13.395113732097725,8.833333333333334,17.996987951807228,11.34020618556701,6.104252400548696,0.9345794392523363,2.0043406102387333,12.727272727272727,17.1875,3.132530120481928,1.8567639257294428,3.7629547193433956,2.5436740113697667,1.4597659548799613,1.5873015873015872,1.3072924870058278,11.748483177054606,11.31578947368421,8.333333333333332
