gene,delta_log_iPT_vs_PT
ALDOB,-2.5925076
CUBN,-1.703333
MME,-1.2328106
PEPD,-0.9193082
ACY1,-0.8220838
ACSF2,-0.6684152
ACAT1,-0.65441245
DPEP1,-0.62491035
LGALS2,-0.5948803
BDH2,-0.53921497
OCIAD2,-0.48100773
HNF4A,-0.46171206
PPARA,-0.44668996
SLC5A10,-0.44606584
SHMT1,-0.38750386
AMN,-0.35683954
ENPEP,-0.33003694
SLC17A3,-0.2991858
KCNJ15,-0.28553903
ALDH8A1,-0.25244343
CYFIP2,-0.2452766
AOC1,-0.20643064
EFHD1,-0.14481983
TCN2,-0.121112384
SLC9A3,-0.10864705
TM7SF3,-0.0943678
UMOD,-0.08714457
SOST,-0.0045042736
HOXA9,-0.00038969517
SNAI1,8.333521e-05
TDGF1,0.00013788452
TWIST1,0.0014508348
IL1RL1,0.0037696897
TNF,0.0047609154
CRB2,0.011212623
ACTA2,0.026550932
DCN,0.029095884
ARMC7,0.030236889
FN1,0.034545578
COL1A1,0.03870583
CCL2,0.039864473
FOS,0.05056545
BCAM,0.056793667
ICAM1,0.064496145
SOX9,0.110028155
CD24,0.14323363
VIM,0.19482899
RELB,0.21710724
RGL3,0.22168282
JUN,0.22345859
SLC2A9,0.2538557
HAVCR1,0.43436065
VCAM1,0.47849464
PAX8,0.70040333
PROM1,0.8049817
BICC1,1.4972028
