celltype,gene,delta,p,n_dis,n_ref,fdr
Endo_GC,SLC5A10,-0.791688128907292,0.19147999453872755,6,14,0.8443968442710696
Endo_GC,CYFIP2,-0.7107244434076849,0.5913235873966158,6,14,0.939909745863352
Endo_GC,RELB,0.21580919384881891,0.44416924664602686,6,14,0.9248188814560409
Endo_GC,ACAT1,0.036537199083333416,0.6589783281733748,6,14,0.9572707231571722
Endo_GC,ARMC7,0.5312966859366881,0.48260133382538994,6,14,0.929785529945715
Endo_GC,PAX8,-0.6755733147971834,0.4816079507345098,6,14,0.929785529945715
Endo_GC,ENPEP,-1.178570711494552,0.2099196817783886,6,14,0.8443968442710696
Endo_GC,IL1RL1,-0.10313669283737559,0.8684867960786329,6,14,1.0
Endo_GC,DCN,-0.13250791003132578,0.7045220896855977,6,14,0.9583748701643443
Endo_GC,ALDH8A1,-0.3721359255795673,0.691686702387296,6,14,0.9583748701643443
Endo_GC,SLC2A9,0.5338344162406847,0.4093168953230337,6,14,0.8945266619685225
Endo_GC,SLC9A3,0.04104709380311289,0.9614060528694802,6,14,1.0
Endo_GC,UMOD,-0.6174273996069072,0.44284079349553684,6,14,0.9248188814560409
Endo_GC,PPARA,-0.9757622298999564,0.34214601262009736,6,14,0.8786882238275427
Endo_GC,AMN,-1.489776183938548,0.036822247236141845,6,14,0.8368516706124336
Endo_GC,ACTA2,0.806305324206035,0.11571456968803032,6,14,0.8368516706124336
Endo_GC,KCNJ15,-1.7410149833745203,0.05794467600624785,6,14,0.8368516706124336
Endo_GC,PEPD,0.09684711137517299,0.35304437564499486,6,14,0.8786882238275427
Endo_GC,TNF,-0.4096157905508593,0.5573117940192673,6,14,0.9310635086495136
Endo_GC,EFHD1,-0.9685888166584193,0.30182086773325956,6,14,0.8786882238275427
Endo_GC,SOST,-1.654479295385055,0.30182086773325956,6,14,0.8786882238275427
Endo_GC,SLC17A3,-0.44619461744356426,0.7068158686648962,6,14,0.9584950100908551
Endo_GC,ALDOB,-1.290532362711999,0.14353560478533395,6,14,0.8368516706124336
Endo_GC,MME,-2.1167466549954956,0.05794467600624785,6,14,0.8368516706124336
Endo_GC,LGALS2,-1.103489796875663,0.10965889655910434,6,14,0.8368516706124336
Endo_GC,BDH2,-0.30074494069446445,0.20743034055727555,6,14,0.8443968442710696
Endo_GC,FN1,-0.47833709925298074,0.5466460268317854,6,14,0.929785529945715
Endo_GC,BICC1,-0.5245997270693574,0.5584802879104449,6,14,0.9310635086495136
Endo_GC,ICAM1,-0.2635961654957737,0.44416924664602686,6,14,0.9248188814560409
Endo_GC,HAVCR1,-0.5191182330670201,0.2263823516772634,6,14,0.8722970828259046
Endo_GC,TDGF1,-0.308763167400832,1.0,6,14,1.0
Endo_GC,TM7SF3,0.07442369941854299,0.7180598555211559,6,14,0.9608447290127773
Endo_GC,CD24,-0.06637855018603611,1.0,6,14,1.0
Endo_GC,VCAM1,0.4324255470390055,0.9670927530407483,6,14,1.0
Endo_GC,VIM,-0.5531898040475509,0.3970072239422085,6,14,0.8945266619685225
Endo_GC,HOXA9,-1.1062722772580145,0.06150031213899141,6,14,0.8368516706124336
Endo_GC,RGL3,0.8598602328495728,0.3426914163606283,6,14,0.8786882238275427
