celltype,gene,delta,p,n_dis,n_ref,fdr
Podo,SLC5A10,-0.47531276928284033,0.5686182086635944,6,7,1.0
Podo,CYFIP2,-0.18856756662184093,0.9422593738382383,6,7,1.0
Podo,RELB,0.6769402704788643,0.35045045689099685,6,7,1.0
Podo,ACAT1,0.40887385856790415,0.5337995337995338,6,7,1.0
Podo,ARMC7,-0.08165265370806951,0.9422593738382383,6,7,1.0
Podo,PAX8,0.23823884660106298,0.9427417336673175,6,7,1.0
Podo,ENPEP,0.4452834911008523,0.13752913752913754,6,7,1.0
Podo,IL1RL1,0.4781081697341666,0.25673097810470036,6,7,1.0
Podo,DCN,0.6437529386225478,0.7307692307692307,6,7,1.0
Podo,ALDH8A1,-1.0456891636293395,0.18681240090932527,6,7,1.0
Podo,SLC2A9,0.13671359574538666,1.0,6,7,1.0
Podo,SLC9A3,-0.6294575881090978,0.3287100420434993,6,7,1.0
Podo,UMOD,0.14398437097310524,1.0,6,7,1.0
Podo,PPARA,0.8380971979665355,0.830094265465244,6,7,1.0
Podo,AMN,-0.7373452708488745,0.3672781612523701,6,7,1.0
Podo,ACTA2,-0.47770154735916054,0.6838570558069184,6,7,1.0
Podo,KCNJ15,0.1578442538624536,1.0,6,7,1.0
Podo,PEPD,0.20088945042374418,0.5197427420397585,6,7,1.0
Podo,TNF,0.9489825182446445,0.13985412266201436,6,7,1.0
Podo,EFHD1,0.10389888898453137,1.0,6,7,1.0
Podo,SOST,0.1356806953234313,0.7071698347694884,6,7,1.0
Podo,SLC17A3,0.27227528772759824,0.6070216067106332,6,7,1.0
Podo,ALDOB,-0.13797863054257076,1.0,6,7,1.0
Podo,MME,0.12460726722702642,0.9452214452214451,6,7,1.0
Podo,LGALS2,0.37298428678182927,0.815797800295804,6,7,1.0
Podo,BDH2,0.6742824920694261,0.9427417336673175,6,7,1.0
Podo,FN1,-0.3774808629207448,0.6070216067106332,6,7,1.0
Podo,BICC1,0.011068547103028958,0.9422593738382383,6,7,1.0
Podo,ICAM1,0.12382222359243811,1.0,6,7,1.0
Podo,HAVCR1,0.11500633671320581,0.8805564005373742,6,7,1.0
Podo,TDGF1,-0.1548318987422977,1.0,6,7,1.0
Podo,TM7SF3,1.2924071649306694,0.22400125178257257,6,7,1.0
Podo,CD24,0.92201451293771,0.5180082295198487,6,7,1.0
Podo,VCAM1,1.1184280313499135,0.1401131414382632,6,7,1.0
Podo,VIM,-0.16301268463503416,0.8356643356643356,6,7,1.0
Podo,HOXA9,-0.21853694770562493,0.7307692307692307,6,7,1.0
Podo,RGL3,0.8576225318743569,0.35045045689099685,6,7,1.0
Podo,COL1A1,0.6741543712367588,0.1906575387162719,6,7,1.0
Podo,JUN,0.4695246313854966,0.7195041960117442,6,7,1.0
Podo,DPEP1,0.10418945673235513,1.0,6,7,1.0
Podo,TCN2,0.7930364049271402,0.1906575387162719,6,7,1.0
Podo,OCIAD2,-0.3945656130447146,0.9422593738382383,6,7,1.0
Podo,SOX9,-0.33864057326299407,0.4635767781942933,6,7,1.0
Podo,TWIST1,0.0,1.0,6,7,1.0
Podo,SNAI1,-0.13336456406969813,1.0,6,7,1.0
Podo,BCAM,-0.4752964415543257,0.13752913752913754,6,7,1.0
Podo,CRB2,-0.3119093007604796,0.6282051282051282,6,7,1.0
Podo,CCL2,0.6922773384484258,0.32842400794817095,6,7,1.0
Podo,CUBN,-1.112019613440168,0.31664483874485594,6,7,1.0
Podo,FOS,-0.8834507166517254,0.4452214452214452,6,7,1.0
Podo,ACSF2,0.15755292237577212,0.9427417336673175,6,7,1.0
Podo,SHMT1,0.3653821488855473,0.6638654695537747,6,7,1.0
Podo,AOC1,0.6556016299711791,0.12177141594719547,6,7,1.0
Podo,HNF4A,-0.8052394477407279,0.6521396492342297,6,7,1.0
Podo,PROM1,0.9707041626154894,0.25975120332414403,6,7,1.0
Podo,ACY1,-1.424972631646778,0.09103944500208998,6,7,1.0
Endo_GC,SLC5A10,-0.22716486690592896,0.6954870316862476,12,14,1.0
Endo_GC,CYFIP2,-0.4532283668364352,0.6802069193897471,12,14,1.0
Endo_GC,RELB,-0.2543074737669855,0.8976677478525636,12,14,1.0
Endo_GC,ACAT1,0.47361352046062466,0.6251055995506551,12,14,1.0
Endo_GC,ARMC7,0.007245793233967568,0.6063951149819934,12,14,1.0
Endo_GC,PAX8,0.15711687095673055,0.7768899344935124,12,14,1.0
Endo_GC,ENPEP,-0.2457853289168499,0.6969026209048139,12,14,1.0
Endo_GC,IL1RL1,0.5558841979238456,0.3537153781064273,12,14,1.0
Endo_GC,DCN,0.2627567487111915,0.7740808392358745,12,14,1.0
Endo_GC,ALDH8A1,-0.0962812876685275,0.8946885243337741,12,14,1.0
Endo_GC,SLC2A9,-0.24162244678181288,0.42531515781619333,12,14,1.0
Endo_GC,SLC9A3,-0.013369053277316745,0.8796346467651517,12,14,1.0
Endo_GC,UMOD,0.9462952816313701,0.2232846783170922,12,14,1.0
Endo_GC,PPARA,-0.6724535222733516,0.3537153781064273,12,14,1.0
Endo_GC,AMN,-0.1724143845785624,0.5517986060067275,12,14,1.0
Endo_GC,ACTA2,-0.41071560359317716,0.32553146747078365,12,14,1.0
Endo_GC,KCNJ15,-0.04816466827550547,0.8566507815668982,12,14,1.0
Endo_GC,PEPD,0.16285285050774423,0.8169613217153913,12,14,1.0
Endo_GC,TNF,0.13080051578115004,0.6883179406746214,12,14,1.0
Endo_GC,EFHD1,-0.2953814329093212,0.6069496804750147,12,14,1.0
Endo_GC,SOST,-0.8463284112737268,0.2367320237053815,12,14,1.0
Endo_GC,SLC17A3,0.24761646302383022,0.5177535687195507,12,14,1.0
Endo_GC,ALDOB,-0.23728196828967585,0.4832350066499944,12,14,1.0
Endo_GC,MME,-0.8472954928635628,0.20323708417491115,12,14,1.0
Endo_GC,LGALS2,0.07225187102076047,0.9168689148174084,12,14,1.0
Endo_GC,BDH2,-0.12881695521179903,0.7381351386116883,12,14,1.0
Endo_GC,FN1,-0.1395746024384561,0.7772615629718961,12,14,1.0
Endo_GC,BICC1,-0.04898813599875984,0.7356865064942926,12,14,1.0
Endo_GC,ICAM1,0.1699677181624244,0.3960658207089378,12,14,1.0
Endo_GC,HAVCR1,-0.3397545633926208,0.28913246408535587,12,14,1.0
Endo_GC,TDGF1,-0.2434031488104947,0.42312949342530626,12,14,1.0
Endo_GC,TM7SF3,0.1731582970762684,0.8571364155923,12,14,1.0
Endo_GC,CD24,0.752344836877298,0.18037947252927022,12,14,1.0
Endo_GC,VCAM1,0.6386836542261891,0.14240729644264352,12,14,1.0
Endo_GC,VIM,-0.13996522814234158,0.8571364155923,12,14,1.0
Endo_GC,HOXA9,-0.44476796547784514,0.1413129603579997,12,14,1.0
Endo_GC,RGL3,0.31891495015306326,0.48715536320251795,12,14,1.0
Endo_GC,COL1A1,0.43763356138909904,0.16768680212404308,12,14,1.0
Endo_GC,JUN,-0.6222915296337126,0.3680655063054846,12,14,1.0
Endo_GC,DPEP1,0.04132180256721307,0.836720303098359,12,14,1.0
Endo_GC,TCN2,-0.24347331482496726,0.31587447983048955,12,14,1.0
Endo_GC,OCIAD2,0.039571442329101814,0.6996756256347049,12,14,1.0
Endo_GC,SOX9,0.37071531430309645,0.16172522891082397,12,14,1.0
Endo_GC,TWIST1,0.08994028308954713,0.4308587074355561,12,14,1.0
Endo_GC,SNAI1,-0.6129202231471804,0.3405049231171826,12,14,1.0
Endo_GC,BCAM,-0.11880867347062907,0.5891544654500582,12,14,1.0
Endo_GC,CRB2,0.005509428348842105,0.6066437965334945,12,14,1.0
Endo_GC,CCL2,-0.024328157829246688,0.8360255812113838,12,14,1.0
Endo_GC,CUBN,-0.5879952342285266,0.3405049231171826,12,14,1.0
Endo_GC,FOS,-0.6767635288629661,0.31587447983048955,12,14,1.0
Endo_GC,ACSF2,-0.30398914719573034,0.7562037203979723,12,14,1.0
Endo_GC,SHMT1,-0.07237490530681656,0.73726845372543,12,14,1.0
Endo_GC,AOC1,-0.2116003948258568,0.6846515276113873,12,14,1.0
Endo_GC,HNF4A,-0.09592748896571579,0.8541460702174415,12,14,1.0
Endo_GC,PROM1,0.7633098634239335,0.18539779950786317,12,14,1.0
Endo_GC,ACY1,-0.4429676904695725,0.3818268835417734,12,14,1.0
PT_S1,SLC5A10,-0.09487438685021399,0.6418381810738645,10,13,1.0
PT_S1,CYFIP2,-0.6276712378239901,0.1824092981672638,10,13,1.0
PT_S1,RELB,1.3322522357897701,0.01834857850205112,10,13,0.9139746965163582
PT_S1,ACAT1,0.2269129910024379,0.9752626144551187,10,13,1.0
PT_S1,ARMC7,0.05953107187031903,0.4377582835006826,10,13,1.0
PT_S1,PAX8,-0.20583433095582215,0.6418381810738645,10,13,1.0
PT_S1,ENPEP,-0.26225114222776114,0.733031673648372,10,13,1.0
PT_S1,IL1RL1,-0.09785786602188895,0.41157393878013193,10,13,1.0
PT_S1,DCN,0.6758718110046664,0.2574475974514975,10,13,1.0
PT_S1,ALDH8A1,-0.38478086611872087,0.07714537101088105,10,13,1.0
PT_S1,SLC2A9,0.2685804636138158,0.8767870883365486,10,13,1.0
PT_S1,SLC9A3,-0.4878820837944269,0.5112537523836003,10,13,1.0
PT_S1,UMOD,0.4474276525688492,0.7756012177724655,10,13,1.0
PT_S1,PPARA,-0.43123123677175457,0.3364168335882751,10,13,1.0
PT_S1,AMN,-0.2508582621532174,0.5980910784890172,10,13,1.0
PT_S1,ACTA2,-0.37061997846272654,0.301954748969014,10,13,1.0
PT_S1,KCNJ15,-0.37000062367221087,0.3364168335882751,10,13,1.0
PT_S1,PEPD,-0.005745005553303706,0.8767870883365486,10,13,1.0
PT_S1,TNF,0.5644647256861443,0.07401094723694361,10,13,1.0
PT_S1,EFHD1,0.2218071425796193,0.7801848488260388,10,13,1.0
PT_S1,SOST,0.14654690048267738,0.6315376088520648,10,13,1.0
PT_S1,SLC17A3,-0.005863720793189309,0.9752626144551187,10,13,1.0
PT_S1,ALDOB,-0.5329308854414387,0.43821139060496905,10,13,1.0
PT_S1,MME,-0.6771224685730912,0.08810538637205476,10,13,1.0
PT_S1,LGALS2,0.18241937714240386,0.9752626144551187,10,13,1.0
PT_S1,BDH2,-0.12865121634156207,0.5980910784890172,10,13,1.0
PT_S1,FN1,0.7387461618869238,0.2345765673067295,10,13,1.0
PT_S1,BICC1,-0.022283489383257304,0.9752626144551187,10,13,1.0
PT_S1,ICAM1,0.8658325140637712,0.16081478420559903,10,13,1.0
PT_S1,HAVCR1,0.18145248781398404,0.8729956186633534,10,13,1.0
PT_S1,TDGF1,0.026332331631649997,0.8553468435312301,10,13,1.0
PT_S1,TM7SF3,0.004757492504862348,0.8767870883365486,10,13,1.0
PT_S1,CD24,0.34447528272539873,0.5557506005798083,10,13,1.0
PT_S1,VCAM1,0.34537769575661903,0.3061723762831656,10,13,1.0
PT_S1,VIM,1.4832930346492712,0.0169284209037821,10,13,0.9139746965163582
PT_S1,HOXA9,-0.15165555526264507,0.6868651803414656,10,13,1.0
PT_S1,RGL3,-0.16539929249949337,0.7317539156190707,10,13,1.0
PT_S1,COL1A1,0.3903157047962519,0.22890519160399503,10,13,1.0
PT_S1,JUN,1.3622855806558918,0.02003716189074337,10,13,0.9139746965163582
PT_S1,DPEP1,-0.1422435728079181,1.0,10,13,1.0
PT_S1,TCN2,-0.0768739732803918,0.9258828652977943,10,13,1.0
PT_S1,OCIAD2,0.136685805509277,0.6868651803414656,10,13,1.0
PT_S1,SOX9,0.3777187621806968,0.3056939689444873,10,13,1.0
PT_S1,TWIST1,0.08435766885051615,0.7889277281810222,10,13,1.0
PT_S1,SNAI1,0.3320715034504692,0.698453381175252,10,13,1.0
PT_S1,BCAM,0.18003106912013322,0.5980910784890172,10,13,1.0
PT_S1,CRB2,-0.016676643292827142,1.0,10,13,1.0
PT_S1,CCL2,1.405845636410471,0.004364227747207332,10,13,0.9139746965163582
PT_S1,CUBN,-0.6287233512516757,0.2777870669053022,10,13,1.0
PT_S1,FOS,1.5509735897492902,0.010061144346177166,10,13,0.9139746965163582
PT_S1,ACSF2,-0.43692003411237046,0.1628980349177952,10,13,1.0
PT_S1,SHMT1,-0.11933005910236627,0.3685185409900362,10,13,1.0
PT_S1,AOC1,-0.15289829415771994,0.8767870883365486,10,13,1.0
PT_S1,HNF4A,-0.26408024158939813,0.5557506005798083,10,13,1.0
PT_S1,PROM1,0.7704074938152592,0.35384521477747266,10,13,1.0
PT_S1,ACY1,-0.2130601257872602,0.9258828652977943,10,13,1.0
PT_S2,SLC5A10,-0.12070384612780583,0.5557506005798083,10,13,1.0
PT_S2,CYFIP2,-0.377703827749893,0.2777870669053022,10,13,1.0
PT_S2,RELB,1.0806309136330672,0.03090124317428255,10,13,0.9139746965163582
PT_S2,ACAT1,0.08701251526912479,0.8281609739814659,10,13,1.0
PT_S2,ARMC7,-0.014400263346733722,0.8764840252781347,10,13,1.0
PT_S2,PAX8,-0.3069945998277035,0.5557506005798083,10,13,1.0
PT_S2,ENPEP,-0.475564943365411,0.4757221771273181,10,13,1.0
PT_S2,IL1RL1,0.00014360433643850756,0.8181573876006558,10,13,1.0
PT_S2,DCN,0.9483794426504415,0.12040718432362321,10,13,1.0
PT_S2,ALDH8A1,-0.3222132537819675,0.006980869651063896,10,13,0.9139746965163582
PT_S2,SLC2A9,0.18010166482641488,0.8281609739814659,10,13,1.0
PT_S2,SLC9A3,-0.3303258850444659,0.7275384421543277,10,13,1.0
PT_S2,UMOD,0.24892833071032894,0.8229157087535512,10,13,1.0
PT_S2,PPARA,-0.42798871232220836,0.22653276315984072,10,13,1.0
PT_S2,AMN,-0.1955207819395044,0.4024607919056016,10,13,1.0
PT_S2,ACTA2,-0.14077577554599696,0.7178782771365331,10,13,1.0
PT_S2,KCNJ15,-0.3921571030415203,0.3061723762831656,10,13,1.0
PT_S2,PEPD,0.11630613190543393,0.733031673648372,10,13,1.0
PT_S2,TNF,0.7512839932683463,0.039892313320853884,10,13,0.9465972652406006
PT_S2,EFHD1,0.20278956862608943,0.6418381810738645,10,13,1.0
PT_S2,SOST,-0.03343767065436232,0.8695537080915842,10,13,1.0
PT_S2,SLC17A3,-0.10207647836067313,0.8281609739814659,10,13,1.0
PT_S2,ALDOB,-0.4726988966588497,0.5149287781946421,10,13,1.0
