sample,celltype,n,frac,group
HK1584,B_Naive,5,0.0014806040864672786,DKD
HK1584,CD14_Mono,1,0.0002961208172934557,DKD
HK1584,CD16_Mono,1268,0.37548119632810184,DKD
HK1584,CD4T,146,0.04323363932484454,DKD
HK1584,CD8T,1331,0.3941368078175896,DKD
HK1584,CNT,12,0.0035534498075214687,DKD
HK1584,C_TAL,21,0.00621853716316257,DKD
HK1584,DCT1,40,0.011844832691738229,DKD
HK1584,DCT2,39,0.011548711874444773,DKD
HK1584,Des-Thin_Limb,1,0.0002961208172934557,DKD
HK1584,Endo_GC,13,0.0038495706248149247,DKD
HK1584,Endo_Peritubular,12,0.0035534498075214687,DKD
HK1584,GS_Stromal,14,0.00414569144210838,DKD
HK1584,IC_A,88,0.026058631921824105,DKD
HK1584,IC_B,13,0.0038495706248149247,DKD
HK1584,M_TAL,6,0.0017767249037607344,DKD
HK1584,Mac,14,0.00414569144210838,DKD
HK1584,Macula_Densa,2,0.0005922416345869114,DKD
HK1584,NK,312,0.09238969499555819,DKD
HK1584,Neural_Cells,4,0.0011844832691738228,DKD
HK1584,Neutrophil,2,0.0005922416345869114,DKD
HK1584,PC,4,0.0011844832691738228,DKD
HK1584,PT_S2,1,0.0002961208172934557,DKD
HK1584,PT_S3,1,0.0002961208172934557,DKD
HK1584,Prolif_Lym,19,0.005626295528575659,DKD
HK1584,RBC,6,0.0017767249037607344,DKD
HK1584,iPT,2,0.0005922416345869114,DKD
HK1585,Ascending_Thin_LOH,34,0.014049586776859505,Control
HK1585,CD14_Mono,217,0.0896694214876033,Control
HK1585,CD16_Mono,407,0.16818181818181818,Control
HK1585,CD4T,59,0.024380165289256198,Control
HK1585,CD8T,402,0.16611570247933885,Control
HK1585,CNT,112,0.04628099173553719,Control
HK1585,C_TAL,21,0.008677685950413223,Control
HK1585,DCT1,23,0.009504132231404958,Control
HK1585,DCT2,139,0.05743801652892562,Control
HK1585,Des-Thin_Limb,1,0.00041322314049586776,Control
HK1585,Endo_GC,83,0.03429752066115702,Control
HK1585,Endo_Peritubular,28,0.011570247933884297,Control
HK1585,Fibroblast_2,1,0.00041322314049586776,Control
HK1585,GS_Stromal,2,0.0008264462809917355,Control
HK1585,IC_A,439,0.18140495867768594,Control
HK1585,IC_B,10,0.004132231404958678,Control
HK1585,M_TAL,1,0.00041322314049586776,Control
HK1585,Mac,39,0.016115702479338842,Control
HK1585,Macula_Densa,10,0.004132231404958678,Control
HK1585,MyoFib/VSMC,13,0.005371900826446281,Control
HK1585,NK,208,0.0859504132231405,Control
HK1585,Neutrophil,28,0.011570247933884297,Control
HK1585,PC,126,0.05206611570247934,Control
HK1585,PEC,1,0.00041322314049586776,Control
HK1585,PT_S1,3,0.0012396694214876034,Control
HK1585,Prolif_Lym,11,0.004545454545454545,Control
HK1585,iPT,2,0.0008264462809917355,Control
HK1588,B_Naive,1,0.0002463661000246366,Control
HK1588,CD16_Mono,235,0.057896033505789604,Control
HK1588,CD4T,555,0.1367331855136733,Control
HK1588,CD8T,1761,0.43385070214338506,Control
HK1588,CNT,13,0.003202759300320276,Control
HK1588,C_TAL,5,0.001231830500123183,Control
HK1588,DCT1,9,0.0022172949002217295,Control
HK1588,DCT2,61,0.015028332101502834,Control
HK1588,Des-Thin_Limb,5,0.001231830500123183,Control
HK1588,Endo_GC,31,0.007637349100763735,Control
HK1588,Endo_Peritubular,16,0.003941857600394186,Control
HK1588,GS_Stromal,1,0.0002463661000246366,Control
HK1588,IC_A,646,0.15915250061591524,Control
HK1588,IC_B,3,0.0007390983000739098,Control
HK1588,M_TAL,6,0.0014781966001478197,Control
HK1588,Mac,20,0.004927322000492732,Control
HK1588,Macula_Densa,1,0.0002463661000246366,Control
HK1588,NK,659,0.16235525991623553,Control
HK1588,Neural_Cells,8,0.001970928800197093,Control
HK1588,Neutrophil,6,0.0014781966001478197,Control
HK1588,PC,2,0.0004927322000492732,Control
HK1588,PEC,2,0.0004927322000492732,Control
HK1588,Prolif_Lym,12,0.0029563932002956393,Control
HK1588,iPT,1,0.0002463661000246366,Control
HK1593,B_Naive,22,0.010607521697203472,HKD
HK1593,CD14_Mono,28,0.013500482160077145,HKD
HK1593,CD16_Mono,136,0.06557377049180328,HKD
HK1593,CD4T,274,0.13211186113789777,HKD
HK1593,CD8T,565,0.27242044358727097,HKD
HK1593,C_TAL,6,0.0028929604628736743,HKD
HK1593,DCT1,10,0.0048216007714561235,HKD
HK1593,DCT2,10,0.0048216007714561235,HKD
HK1593,Endo_GC,46,0.022179363548698167,HKD
HK1593,Endo_Peritubular,6,0.0028929604628736743,HKD
HK1593,Fibroblast_1,3,0.0014464802314368371,HKD
HK1593,IC_A,454,0.218900675024108,HKD
HK1593,IC_B,10,0.0048216007714561235,HKD
HK1593,M_TAL,6,0.0028929604628736743,HKD
HK1593,Mac,33,0.01591128254580521,HKD
HK1593,MyoFib/VSMC,7,0.0033751205400192863,HKD
HK1593,NK,423,0.20395371263259401,HKD
HK1593,Neural_Cells,3,0.0014464802314368371,HKD
HK1593,Neutrophil,19,0.009161041465766635,HKD
HK1593,PT_S1,3,0.0014464802314368371,HKD
HK1593,PT_S2,1,0.00048216007714561236,HKD
HK1593,PT_S3,3,0.0014464802314368371,HKD
HK1593,Podo,1,0.00048216007714561236,HKD
HK1593,Prolif_Lym,1,0.00048216007714561236,HKD
HK1593,cDC,1,0.00048216007714561236,HKD
HK1593,iPT,3,0.0014464802314368371,HKD
HK1594,B_Naive,35,0.01254930082466834,HKD
HK1594,B_memory,1,0.00035855145213338117,HKD
HK1594,Baso/Mast,1,0.00035855145213338117,HKD
HK1594,CD14_Mono,327,0.11724632484761563,HKD
HK1594,CD16_Mono,535,0.1918250268913589,HKD
HK1594,CD4T,265,0.095016134815346,HKD
HK1594,CD8T,435,0.15596988167802078,HKD
HK1594,C_TAL,13,0.004661168877733955,HKD
