gene,sc_mean,sn_mean,delta,rho,p,fdr
JUN,1.5769654096979084,0.2294404006591349,-1.3475250090387734,0.22827540106951874,2.3283064365386963e-10,8.149072527885437e-10
FOS,1.4954935005216887,0.32203090760969755,-1.1734625929119913,0.38836898395721925,2.3283064365386963e-10,8.149072527885437e-10
VIM,0.8551959329933831,0.21855117624738452,-0.6366447567459986,0.8689839572192514,4.656612873077393e-10,1.4487240049574108e-09
ALDOB,0.691960231485692,0.23106894441739176,-0.4608912870683002,0.24030748663101606,0.0002902455162256956,0.0004392905110442961
OCIAD2,0.41135912405496294,0.09491417348159081,-0.31644495057337213,0.4154411764705882,2.3283064365386963e-09,5.668920019398565e-09
ACAT1,0.5262449269154759,0.20984129743142563,-0.3164036294840502,0.571524064171123,0.00014457409270107746,0.00023131854832172393
BCAM,0.4520446900842768,0.19149888543920082,-0.26054580464507593,0.7556818181818182,0.05058561568148434,0.060272222939640914
CD24,0.6401204608493682,0.41103577410632913,-0.22908468674303908,0.5073529411764707,0.24179217498749495,0.2708072359859943
BDH2,0.3203441294079477,0.1146439178423448,-0.20570021156560292,0.321524064171123,0.0002060714177787304,0.00032055553876691393
LGALS2,0.21012639082178022,0.02812581013881065,-0.18200058068296956,0.34324866310160435,2.2280961275100708e-05,4.024947843243999e-05
ACY1,0.23739901955493473,0.09377306507843913,-0.1436259544764956,0.3185160427807487,1.5329569578170776e-06,2.8615196545918782e-06
PEPD,0.3406217780077096,0.2246175783150124,-0.11600419969269724,0.3021390374331551,0.006567624397575855,0.008756832530101141
TNF,0.12132850038169911,0.007403163529075259,-0.11392533685262385,0.4241709077190708,8.75128034540769e-07,1.750256069081538e-06
SOST,0.11837937569273918,0.005799430237278681,-0.1125799454554605,0.3071775524961875,5.3686202226740976e-05,9.11038583241665e-05
AOC1,0.10837724949515452,0.02451446054108215,-0.08386278895407238,0.3536391756309517,0.01875691651366651,0.023872439199211924
ACTA2,0.22639361569996586,0.14426428777391487,-0.08212932792605099,0.5116978609625669,0.5134843902196735,0.5425495443830513
AMN,0.12608992728884472,0.07957160366332215,-0.04651832362552258,0.6462772647282089,0.0652196470182389,0.0760895881879454
CCL2,0.07475764778527347,0.03226847702877201,-0.04248917075650146,0.24866310160427807,0.3214736534282565,0.352990678274164
SNAI1,0.03911362434596275,0.0013361630655267756,-0.03777746128043597,0.28111947462216363,4.656612873077393e-10,1.4487240049574108e-09
TCN2,0.07380782856577725,0.04249832801041052,-0.03130950055536673,0.5397727272727273,0.025330995675176382,0.0315230168402195
ICAM1,0.08435575778342107,0.055406537570172186,-0.028949220213248875,0.804812834224599,0.03534287237562239,0.043026105500757694
IL1RL1,0.028651954323074526,0.01157741776886255,-0.017074536554211976,0.5026839046802052,0.887851148378104,0.887851148378104
HOXA9,0.090328987663132,0.08079312194251653,-0.009535865720615468,0.7921122994652408,0.7643533307127655,0.7926627133317568
TDGF1,0.012272609240784677,0.006775518868711184,-0.005497090372073492,0.1872441885542584,0.8774027283940786,0.887851148378104
COL1A1,0.05212744478150412,0.04784764525141905,-0.0042797995300850634,0.502005347593583,0.0005144963506609201,0.0007582051483424086
CRB2,0.027796974749159716,0.02500644059513103,-0.002790534154028688,0.2719280149154015,1.1576339602470398e-06,2.235431095649456e-06
DPEP1,0.1394270466584148,0.13691307384182105,-0.0025139728165937195,0.5384358288770054,0.16549804504029453,0.18914062290319375
SOX9,0.034309351381979825,0.032934603302485564,-0.0013747480794942628,0.09944012736314567,0.42636040854267776,0.45915736304596066
TWIST1,0.005716394210387741,0.007961336043522213,0.0022449418331344723,0.19721274616589837,0.003161659874246665,0.004318364706288128
ALDH8A1,0.05684169422425894,0.06896406807231181,0.012122373848052865,0.37887524156680885,0.01444281474687159,0.01880924711220486
FN1,0.10082408711031983,0.12413652764746186,0.023312440537142032,0.5538101604278075,0.001276291674003005,0.0018326239421581612
DCN,0.07912451075037208,0.12457103203191902,0.04544652128154694,0.49686638428677665,5.630846135318279e-05,9.27433481111246e-05
ARMC7,0.041363688609139485,0.0879288784820925,0.04656518987295302,0.500668449197861,2.4889595806598663e-07,5.360836019882789e-07
HAVCR1,0.0010218397949233115,0.0682149415581741,0.0671931017632508,0.10917790384387104,2.3283064365386963e-10,8.149072527885437e-10
SHMT1,0.14781661986401587,0.22553755659045596,0.07772093672644008,0.49799465240641716,1.7741695046424866e-07,3.9741396903991696e-07
UMOD,0.27937632931085926,0.36457253021724295,0.08519620090638372,0.3683155080213904,0.002915517892688513,0.004081725049763917
SLC9A3,0.00473503366502524,0.09136196193426396,0.08662692826923872,0.4401352842411176,1.1641532182693481e-09,2.96329910104925e-09
SLC5A10,0.034349264545281505,0.1422920631470554,0.10794279860177387,0.6688994975604673,6.984919309616089e-10,1.955777406692505e-09
HNF4A,0.0477651690051778,0.17050628231443238,0.1227411133092546,0.30591777035764484,6.984919309616089e-10,1.955777406692505e-09
RELB,0.0567134096795185,0.1816968164886489,0.1249834068091304,0.7065508021390374,2.3283064365386963e-10,8.149072527885437e-10
SLC17A3,0.07178671303854296,0.2004891470582648,0.1287024340197218,0.40287531506116064,2.3283064365386963e-10,8.149072527885437e-10
VCAM1,0.044483579441227696,0.19169884883431773,0.14721526939309004,0.3252005347593583,1.1641532182693481e-09,2.96329910104925e-09
TM7SF3,0.15396428413011812,0.32309782234105194,0.16913353821093385,0.5501336898395722,2.3283064365386963e-10,8.149072527885437e-10
MME,0.24084040260111744,0.42716027796268463,0.1863198753615672,0.4719251336898396,4.613981582224369e-05,8.074467768892646e-05
EFHD1,0.24738362339099473,0.4439050577242266,0.19652143433323185,0.7463235294117647,3.4528784453868866e-07,7.161525664506135e-07
PROM1,0.04008646457364331,0.26808292322763894,0.2279964586539956,0.5329656574135657,2.3283064365386963e-10,8.149072527885437e-10
ACSF2,0.07939080374357714,0.33113639959783264,0.2517455958542555,0.46590909090909094,2.3283064365386963e-10,8.149072527885437e-10
ENPEP,0.14176983698130105,0.40091503089801833,0.25914519391671725,0.5952540106951871,2.3283064365386963e-10,8.149072527885437e-10
KCNJ15,0.15496644863830597,0.4713999116511056,0.3164334630127996,0.5213903743315508,2.3283064365386963e-10,8.149072527885437e-10
CYFIP2,0.23448290393659563,0.6042547542037386,0.369771850267143,0.883355614973262,2.3283064365386963e-10,8.149072527885437e-10
RGL3,0.08237259825479916,0.49435241238185856,0.41197981412705936,0.7926077365890848,2.3283064365386963e-10,8.149072527885437e-10
PPARA,0.09785794672753775,0.5961024874087536,0.4982445406812159,0.759024064171123,2.3283064365386963e-10,8.149072527885437e-10
SLC2A9,0.025653937616329076,0.5395804497441559,0.5139265121278268,0.4759358288770053,2.3283064365386963e-10,8.149072527885437e-10
CUBN,0.2757872281292679,0.7973644895987078,0.5215772614694398,0.43081550802139046,2.561137080192566e-08,5.975986520449321e-08
PAX8,0.1803840855277623,0.9107668413357302,0.7303827558079679,0.6681149732620322,2.3283064365386963e-10,8.149072527885437e-10
BICC1,0.16600295264894763,1.5323404263366351,1.3663374736876877,0.6141758952426158,2.3283064365386963e-10,8.149072527885437e-10
