gene,chrom,strand,tss,start,end
ACAT1,chr11,+,108121566,108120566,108122566
ACSF2,chr17,+,50426157,50425157,50427157
ACTA2,chr10,-,88991397,88990397,88992397
ACY1,chr3,+,51983534,51982534,51984534
ALDH8A1,chr6,-,134950101,134949101,134951101
ALDOB,chr9,-,101435774,101434774,101436774
AMN,chr14,+,102922662,102921662,102923662
AOC1,chr7,+,150852516,150851516,150853516
ARMC7,chr17,+,75109968,75108968,75110968
BCAM,chr19,+,44809058,44808058,44810058
BDH2,chr4,-,103099834,103098834,103100834
BICC1,chr10,+,58512871,58511871,58513871
CCL2,chr17,+,34255284,34254284,34256284
CD24,chr6,-,106976855,106975855,106977855
COL1A1,chr17,-,50201631,50200631,50202631
CRB2,chr9,+,123356196,123355196,123357196
CUBN,chr10,-,17129811,17128811,17130811
CYFIP2,chr5,+,157266122,157265122,157267122
DCN,chr12,-,91182817,91181817,91183817
DPEP1,chr16,+,89613307,89612307,89614307
EFHD1,chr2,+,232606056,232605056,232607056
ENPEP,chr4,+,110476154,110475154,110477154
FN1,chr2,-,215436068,215435068,215437068
FOS,chr14,+,75278827,75277827,75279827
HAVCR1,chr5,-,157059116,157058116,157060116
HNF4A,chr20,+,44355698,44354698,44356698
HOXA9,chr7,-,27165537,27164537,27166537
ICAM1,chr19,+,10271119,10270119,10272119
IL1RL1,chr2,+,102311562,102310562,102312562
JUN,chr1,-,58784047,58783047,58785047
KCNJ15,chr21,+,38229925,38228925,38230925
LGALS2,chr22,-,37580087,37579087,37581087
MME,chr3,+,155024123,155023123,155025123
OCIAD2,chr4,-,48906774,48905774,48907774
PAX8,chr2,-,113278921,113277921,113279921
PEPD,chr19,-,33521791,33520791,33522791
PPARA,chr22,+,46150525,46149525,46151525
PROM1,chr4,-,16084023,16083023,16085023
RELB,chr19,+,45001463,45000463,45002463
RGL3,chr19,-,11419314,11418314,11420314
SHMT1,chr17,-,18363563,18362563,18364563
SLC17A3,chr6,-,25874243,25873243,25875243
SLC2A9,chr4,-,10040248,10039248,10041248
SLC5A10,chr17,+,18952164,18951164,18953164
SLC9A3,chr5,-,524449,523449,525449
SNAI1,chr20,+,49982979,49981979,49983979
SOST,chr17,-,43758791,43757791,43759791
SOX9,chr17,+,72121019,72120019,72122019
TCN2,chr22,+,30607173,30606173,30608173
TDGF1,chr3,+,46574534,46573534,46575534
TM7SF3,chr12,-,27014384,27013384,27015384
TNF,chr6,+,31575564,31574564,31576564
TWIST1,chr7,-,19117636,19116636,19118636
UMOD,chr16,-,20352715,20351715,20353715
VCAM1,chr1,+,100719639,100718639,100720639
VIM,chr10,+,17228240,17227240,17229240
